time	Qdflat(1)	tau(1)	hru_ea(1)	hru_rh(1)	hru_t(1)
units	(W/m^2)	()	(kPa)	(%)	(°C)
41907.79167	21.9292	0.239168	0.526377	64.595	4.02375
41907.83333	0	0.239168	0.524312	64.7175	3.941
41907.875	0	0.239168	0.527428	66.2525	3.6925
41907.91667	0	0.239168	0.496046	60.5525	4.09875
41907.95833	0	0.239168	0.53463	66.9325	3.74
41908	0	0.239168	0.561699	69.815	3.8425
41908.04167	0	0.516282	0.542927	65.6275	4.2385
41908.08333	0	0.516282	0.543561	64.9225	4.409
41908.125	0	0.516282	0.558553	67.6125	4.21825
41908.16667	0	0.516282	0.560392	68.105	4.16175
41908.20833	0	0.516282	0.559231	68.105	4.13225
41908.25	0	0.516282	0.551099	67.3925	4.0735
41908.29167	0	0.516282	0.527873	64.8675	4.00425
41908.33333	69.0126	0.516282	0.515077	63.225	4.02
41908.375	232.964	0.516282	0.547046	68.2675	3.7855
41908.41667	394.363	0.516282	0.526755	65.985	3.73175
41908.45833	527.235	0.516282	0.524169	65.2675	3.817
41908.5	617.966	0.516282	0.600099	82.62	2.4
41908.54167	658.798	0.516282	0.489078	60.5025	3.9095
41908.58333	646.632	0.516282	0.478419	60.3375	3.63575
41908.625	582.382	0.516282	0.492882	65.1625	2.96975
41908.66667	471.002	0.516282	0.558397	82.7625	1.3705
41908.70833	323.533	0.516282	0.474033	69.0025	1.6215
41908.75	154.988	0.516282	0.470594	67.275	1.8735
41908.79167	19.3741	0.516282	0.463151	66.0475	1.908
41908.83333	0	0.516282	0.460534	64.4675	2.16725
41908.875	0	0.516282	0.469192	61.9425	2.98975
41908.91667	0	0.516282	0.48704	59.355	4.12225
41908.95833	0	0.516282	0.491027	57.41	4.7135
41909	0	0.516282	0.519392	60.0025	4.885
41909.04167	0	0.571291	0.531279	60.51	5.0885
41909.08333	0	0.571291	0.527207	58.3825	5.492
41909.125	0	0.571291	0.533998	60.23	5.22825
41909.16667	0	0.571291	0.531501	62.5075	4.62975
41909.20833	0	0.571291	0.511818	59.7875	4.72625
41909.25	0	0.571291	0.504816	60.8325	4.2825
